empresaID,CNPJ,CNAE,CNAE2,SINDICATO,CIDADE
20294,6666667777777,4651-6/01,"2710401,3313999,3319800,4649401,4649402,4651602,4652400,4663000,4665600,4669999,4672900,4673700,4679604,4679699,4689399,4751201,4753900,5211799,6203100,6204000,6209100,6311900,7733100,8299799,8599603,9511800","SINDICATO DOS TECNOMANTES DE WAKANDA (Vibranium Tech Solutions)",Barueri
21606,8888889999999,4723-7/00,4723700,"SINDICATO DOS REPLICANTES DE TYRELL (Mais humanos que humanos)",Itapecerica da Serra
30001,1234567890123,4751-2/01,9529105,"SINDICATO DOS NAVEGANTES DA NOSTROMO (Weyland-Yutani Corp.)",Taboão da Serra
30002,2345678901234,4789-0/99,"4751201,4752100","SINDICATO DOS CAÇA-FANTASMAS (Não atravesse os feixes!)",Franca
30003,3456789012345,4520-0/04,4520001,"SINDICATO DOS PILOTOS DE JAEGER (Cancelando o Apocalipse)",Guarulhos
30004,4567890123456,4754-7/01,"4754701,4755503","SINDICATO DOS MESTRES DA MATRIX (Pílula Vermelha Enterprise)",Guarulhos
30005,5678901234567,4712-1/00,4721102,"SINDICATO DOS NAVEGANTES DA SERENITY (Browncoats Unidos)",Campinas
30006,6789012345678,4789-0/99,8599604,"SINDICATO DOS EXPLORADORES DE PANDORA (Na'vi Trade Union)",São Paulo
30007,7890123456789,4763-6/01,7729201,"SINDICATO DOS DEFENSORES DE ZION (Morpheus & Trinity LLC)",São Paulo
30008,8901234567890,2731-7/00,4673700,"FEDERAÇÃO DOS CIENTISTAS DE JURASSIC PARK (Spared No Expense™)",São Paulo
30009,9012345678901,8219-9/01,8211300,"SINDICATO DOS MESTRES DA FORÇA (Ordem 66 Prevenção LTDA)",Guarulhos
30010,0123456789012,4721-1/04,8211300,"SINDICATO DOS REBELDES DE PANEM (Tordo Associados)",São Paulo
30011,1122334455667,4789-0/99,"8020001,7112000","SINDICATO DOS DEFENSORES DO MUNDO INVERTIDO (Hawkins Lab Union)",Barueri
30012,2233445566778,4322-3/02,7739099,"FEDERAÇÃO DOS MUTANTES DE XAVIER (Escola para Jovens Superdotados)",São Paulo
30013,3344556677889,4651-6/01,"4751201,9511800","SINDICATO DOS PROGRAMADORES DA SKYNET (Cyberdyne Systems)",São Paulo
30014,4455667788990,4723-7/00,4723700,"SINDICATO DOS COMERCIANTES DE GOTHAM (Wayne Enterprises Division)",São Paulo
30015,5566778899001,4754-7/01,9529105,"SINDICATO DOS DEFENSORES DE HOGWARTS (Dumbledore's Army Inc.)",Campinas
30016,6677889900112,4789-0/99,"4751201,4752100","SINDICATO DOS GUERREIROS DE ASGARD (Thor & Loki Solutions)",São Paulo
30017,7788990011223,4520-0/04,4520001,"SINDICATO DOS MECÂNICOS DE STARK INDUSTRIES (Iron Legion United)",Guarulhos
30018,8899001122334,4754-7/01,"4754701,4755503","SINDICATO DOS DEFENSORES DA CIDADE ESMERALDA (Yellow Brick Road LLC)",Ourinhos
30019,9900112233445,4712-1/00,4721102,"SINDICATO DOS COMERCIANTES DE NÁRNIA (Aslan's Blessing Corp.)",Diamantina
30020,0011223344556,4789-0/99,8599604,"SINDICATO DOS GUARDIÕES DO MUNDO JURÁSSICO (InGen Workers Union)",Barueri
30021,1122334455668,4763-6/01,7729201,"SINDICATO DOS PILOTOS DO EAGLE 5 (Que a Schwartz Esteja com Você)",Osasco
30022,2233445566779,2731-7/00,4673700,"FEDERAÇÃO DOS DEFENSORES DE MIDGARD (Avengers Initiative)",Diadema
30023,3344556677890,8219-9/01,8211300,"SINDICATO DOS PROTETORES DA PEDRA FILOSOFAL (Alquimistas Flamel)",Santo André
30024,4455667788991,4721-1/04,8211300,"SINDICATO DOS VIAJANTES INTERDIMENSIONAIS (Rick & Morty Co.)",São Caetano
30025,5566778899002,4789-0/99,"8020001,7112000","SINDICATO DOS DEFENSORES DO OASIS (Ready Player One Guild)",Campinas
30026,6677889900113,4322-3/02,7739099,"FEDERAÇÃO DOS CAÇADORES DE ANDROIDES (Blade Runner Division)",São Paulo
30027,7788990011224,4651-6/01,"4751201,9511800","SINDICATO DOS NAVEGANTES DA USS ENTERPRISE (Federação Unida dos Planetas)",São Paulo
30028,8899001122335,4723-7/00,4723700,"SINDICATO DOS COMERCIANTES DE TATOOINE (Mos Eisley Trading Co.)",São Paulo
30029,9900112233446,4754-7/01,9529105,"SINDICATO DOS GUARDIÕES DO MULTIVERSO (Strange Supreme Solutions)",Guarulhos
30030,0011223344557,4789-0/99,"4751201,4752100","SINDICATO DOS DEFENSORES DE GONDOR (Árvore Branca Inc.)",São Paulo
30031,1122334455669,4520-0/04,4520001,"SINDICATO DOS MECÂNICOS DE PODS DE CORRIDA (Anakin's Workshop)",Barueri
30032,2233445566780,4754-7/01,"4754701,4755503","SINDICATO DOS COMERCIANTES DE BESPIN (Cloud City Merchants)",Campos do Jordão
30033,3344556677891,4712-1/00,4721102,"SINDICATO DOS NAVEGANTES DO NEBUCHADNEZZAR (Red Pill Distributors)",São Bernardo do Campo
30034,4455667788992,4789-0/99,8599604,"SINDICATO DOS DEFENSORES DO PARQUE DOS DINOSSAUROS (Bem-vindo à Isla Nublar)",São Bernardo do Campo
30035,5566778899003,4763-6/01,7729201,"SINDICATO DOS VIAJANTES DO DELOREAN (Flux Capacitor Corp.)",São Bernardo do Campo
30036,6677889900114,2731-7/00,4673700,"FEDERAÇÃO DOS EXPLORADORES DO TESOURO NACIONAL (Benjamin Gates & Associates)",São Bernardo do Campo
